title,category,description,location_x,location_y,date,address,instagram,logo,flyer_link
TODO AL PISO ARG,MEET,Consultar detalles del evento en Instagram.,-34.38078417,-59.10681487,2024-12-23,Camping Fatica,https://www.instagram.com/urban_meet2k24,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/urban_meet2k24.jpg,NONE
Turismo Internacional,RACE,Libertad de preparación y una multitud de orígenes: la única regla de mayor importancia es que los autos hayan sido comercializados en el mercado argentino.,-34.9808642,-58.18128397,2024-12-23,Autódromo Roberto José Mouras,https://www.instagram.com/turismointerok/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/turismointerok.jpg,NONE
Turismo Internacional,RACE,Libertad de preparación y una multitud de orígenes: la única regla de mayor importancia es que los autos hayan sido comercializados en el mercado argentino.,-34.9808642,-58.18128397,2024-12-22,Autódromo Roberto José Mouras,https://www.instagram.com/turismointerok/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/turismointerok.jpg,NONE
RALLY PRIMERA MILLA,EVENT,Consultar detalles del evento en Instagram.,"-34.46700684077699, -58.85828873176854",-58.49383346,2024-12-20,Martindale Country Club,https://www.instagram.com/prontorotulo/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_place/pronto%20rotulo.png,NONE
Fórmula 4 Nueva Generación,RACE,Consultar detalles del evento en Instagram.,-34.9808642,-58.18128397,2024-12-16,Autódromo Roberto José Mouras,https://www.instagram.com/formula4ng/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/formula4ng.jpg,NONE
ALMA,RACE,Consultar detalles del evento en Instagram.,-34.9808642,-58.18128397,2024-12-10,Autódromo Roberto José Mouras,https://www.instagram.com/almaprensa,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/almaprensa.jpg,NONE
#OldTimeMeet,EVENT,Consultar detalles del evento en Instagram.,-35.43423162,-60.90831145,2024-12-09,Autódromo 9 de Julio,https://www.instagram.com/oldtimemeet.oficial/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/oldtimemeet.oficial.jpg,NONE
100 Vueltas ELF,RACE,Consultar detalles del evento en Instagram.,-34.69522091,-58.46177878,2024-12-09,Autódromo Óscar y Juan Gálvez,https://www.instagram.com/24hsbuenosaires,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/24hsbuenosaires.jpg,NONE
600 LIGHT,RACE,Consultar detalles del evento en Instagram.,-34.9808642,-58.18128397,2024-12-09,Autódromo Roberto José Mouras,https://www.instagram.com/fiat600light1.3i,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/fiat600light1.3i.jpg,NONE
AMIGOS FIAT 1400 ,RACE,Consultar detalles del evento en Instagram.,-34.9808642,-58.18128397,2024-12-09,Autódromo Roberto José Mouras,https://www.instagram.com/amigosfiat1400/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/amigosfiat1400.jpg,NONE
Copa Abarth Argentina,RACE,Consultar detalles del evento en Instagram.,-43.30095224,-65.27143454,2024-12-09,Autódromo Mar y Valle,https://www.instagram.com/prensatn/,https://lucasmarandola.github.io/taiyoracingco/goodies/map/icons_event/competencias/copaabartharg.jpg,NONE
